id,name,city,state,holes,access
486,Laughlin Ranch Golf Club,Bullhead City,AZ,18,Public
487,Desert Forest Golf Club,Carefree,AZ,18,Private
488,The Boulders Resort Golf Club,Carefree,AZ,18,Private
489,The Boulders Resort Golf Club,Carefree,AZ,18,Public
490,Dave White Municipal Golf Course,Casa Grande,AZ,36,Municipal
491,Francisco Grande Resort and Golf Course,Casa Grande,AZ,18,Public
492,Mission Royale Golf Club,Casa Grande,AZ,18,Public
493,Palm Creek Golf & RV Resort,Casa Grande,AZ,18,Public
494,Tierra Grande Golf Club,Casa Grande,AZ,18,Public
495,Tatum Ranch Golf Course,Cave Creek,AZ,18,Private
